"R0000100","R4893600","R4893700","R4893800","R4893900","R4894000","R5459400","R5464100","R5473500","R5484100","R5532200","R5532300","R5532400","R5532500","R5532600","R7222400","R7227800","R7237200","R7248400","R7273600","R7273700","R7273800","R7273900","R7274000","R7274100","S0920800","S0920900","S0921000","S0921100","S0921200","S1530100","S1530200","S1530300","S1530400","S1530500","S1530600","S1530700","S1530800","S1530900","S1531000","S1535500","S1541700","S1552500","S1564300","S2000000","S2000100","S2000200","S2000300","S2000400","S2000500","S2000600","S2005400","S2011500","S2022300","S2034400","S3800000","S3800100","S3800200","S3800300","S3800400","S3800500","S3800600","S3800700","S3805700","S3812400","S3823200","S3835800","S4681900","S4682000","S4682100","S4682200","S4682300","S5400000","S5400100","S5400200","S5400300","S5400400","S5400500","S5400600","S5405600","S5412800","S5423200","S5436300","S7500000","S7500100","S7500200","S7500300","S7500400","S7500500","S7500600","S7500700","S7500800","S7506100","S7513700","S7525300","S7537100","S8332300","S8332400","S8332500","S8332600","S8332700","T0007500","T0007600","T0007700","T0007800","T0007900","T0008000","T0009400","T0014100","T0025600","T0033700","T2009900","T2010000","T2010100","T2010200","T2010300","T2010400","T2010500","T2010600","T2010700","T2012100","T2016200","T2020500","T2021300","T2782600","T2782700","T2782800","T2782900","T2783000","T3600200","T3600300","T3600400","T3600500","T3600600","T3600700","T3600800","T3600900","T3601000","T3601100","T3602100","T3606500","T3611200","T3612000","T5200700","T5200800","T5200900","T5201000","T5201100","T5201200","T5202300","T5206900","T5211600","T5211900","T6143700","T6143800","T6143900","T6144000","T6144100"
551,3,3,2,3,3,4,270543,2,1,-4,-4,-4,-4,-4,4,76500,2,1,-4,-4,-4,-4,-4,-4,3,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,-4,-4,-4,-4,-4,-4,-4,4,62000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,175500,2,1,3,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,4,6250,2,1,2,-4,-4,-4,-4,-4,-4,-4,-4,4,321273,3,1,4,2,3,2,4,2,-4,-4,-4,-4,-4,4,202760,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,223015,3,1,3,2,4,2,4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,313365,3,1,-4,-4,-4,-4,-4,-4,4,110050,3,1,3,2,4,2,4
552,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,-4,-4,-4,-4,-4,-4,-4,4,160260,3,1,4,2,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,-4,-4,-4,-4,-4,2,20300,2,1,3,2,3,2,4
553,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
554,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,4,42150,1,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,2,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
555,4,3,3,2,4,4,-4,2,1,-4,-4,-4,-4,-4,4,-4,2,1,-4,-4,-4,-4,-4,-4,3,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,83000,2,1,2,-4,-4,-4,-4,-4,-4,4,-3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,4,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,4,8850,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,8250,3,1,4,2,4,2,4,-4,-4,-4,-4,-4,-4,4,28770,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,54000,3,1,3,2,3,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,3,1,-4,-4,-4,-4,-4,-4,4,37750,3,1,4,3,4,2,4
556,3,3,4,2,4,4,-4,2,1,-4,-4,-4,-4,-4,4,63700,2,1,-4,-4,-4,-4,-4,-4,3,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,5000,2,0,-4,-4,-4,-4,-4,-4,-4,4,0,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,17500,2,1,3,3,2,3,4,-4,-4,-4,-4,-4,-4,-4,4,38000,2,1,3,-4,-4,-4,-4,-4,-4,-4,-4,4,45000,2,1,3,3,3,3,4,1,-4,-4,-4,-4,-4,4,47000,2,0,3,-4,-4,-4,-4,-4,-4,-4,-4,4,124000,2,1,3,3,3,3,4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,201750,4,2,-4,-4,-4,-4,-4,-4,4,105000,3,0,3,3,3,2,4
557,3,2,3,2,4,4,117390,2,1,-4,-4,-4,-4,-4,4,77000,2,1,-4,-4,-4,-4,-4,-4,2,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,80000,2,1,-4,-4,-4,-4,-4,-4,-4,4,85490,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,3,3,2,3,4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,4,2,3,2,4,-4,-4,-4,-4,-4,-4,4,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,20500,2,1,4,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,19550,2,1,-4,-4,-4,-4,-4,-4,4,64620,3,1,4,2,4,2,4
558,4,2,3,2,4,4,1000,2,2,2,-4,-4,-4,-4,4,0,2,1,-4,-4,-4,-4,-4,-4,3,3,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,-4,-4,-4,-4,-4,-4,-4,4,0,3,1,-4,-4,-4,-4,-4,-4,-4,-4,4,250,3,1,3,2,3,2,3,2,-4,-4,-4,-4,-4,-4,4,343969,2,1,3,1,3,-4,-4,-4,-4,-4,-4,4,160001,2,1,3,2,4,2,4,3,-4,-4,-4,-4,-4,3,33750,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,32000,2,1,2,2,4,2,4,3,3,-4,-4,-4,-4,-4,-4,-4,-4,4,313365,2,1,-4,-4,-4,-4,-4,-4,4,290810,2,0,4,2,3,2,4
559,4,2,3,2,3,4,78000,2,1,-4,-4,-4,-4,-4,4,-4,2,1,-4,-4,-4,-4,-4,-4,3,3,3,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-4,2,1,-4,-4,-4,-4,-4,-4,-4,4,105000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,112500,2,1,4,3,3,3,4,-4,-4,-4,-4,-4,-4,-4,4,116500,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,106750,2,1,3,2,3,3,4,-4,-4,-4,-4,-4,-4,4,90500,2,1,3,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,4,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,78250,2,1,-4,-4,-4,-4,-4,-4,4,91000,2,1,4,3,3,2,4
560,3,3,2,3,3,4,45000,2,1,-4,-4,-4,-4,-4,4,62245,2,1,-4,-4,-4,-4,-4,-4,4,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,6000,2,1,-4,-4,-4,-4,-4,-4,-4,4,0,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,22800,2,1,3,2,3,3,3,1,-4,-4,-4,-4,-4,-4,4,46080,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,42200,3,1,3,2,4,2,4,1,-4,-4,-4,-4,-4,4,25900,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,63161,2,1,4,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,49750,4,2,-4,-4,-4,-4,-4,-4,4,54800,2,1,3,3,3,2,3
561,3,3,2,3,2,4,-4,2,1,-4,-4,-4,-4,-4,4,-4,2,1,-4,-4,-4,-4,-4,-4,2,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,19600,2,1,-4,-4,-4,-4,-4,-4,-4,4,0,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,20000,2,1,3,3,3,3,-2,-4,-4,-4,-4,-4,-4,-4,4,49000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,46000,2,1,2,4,2,3,3,-4,-4,-4,-4,-4,-4,4,59000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,65000,2,1,3,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,69000,2,1,-4,-4,-4,-4,-4,-4,4,158000,2,1,3,3,3,2,4
562,3,3,2,1,4,4,-4,2,1,-4,-4,-4,-4,-4,4,-4,2,1,-4,-4,-4,-4,-4,-4,3,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,45000,2,1,-4,-4,-4,-4,-4,-4,-4,4,53000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,71250,2,1,3,4,4,1,4,-4,-4,-4,-4,-4,-4,-4,4,72500,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,64000,2,1,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-4,4,88000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,70000,2,1,-2,-2,-1,1,-1,2,2,-4,-4,-4,-4,-4,-4,-4,-4,4,17000,2,1,2,-4,-4,-4,-4,-4,4,125000,3,1,-2,2,4,1,4
563,4,1,4,2,4,4,37500,2,1,-4,-4,-4,-4,-4,4,37500,2,1,-4,-4,-4,-4,-4,-4,2,4,4,4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,20200,2,1,-4,-4,-4,-4,-4,-4,-4,4,17700,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,4,17500,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,2540,2,1,2,3,2,3,2,-4,-4,-4,-4,-4,-4,4,13000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,7500,2,1,2,2,-4,-4,-4,-4,4,39500,2,1,1,3,1,3,1
564,4,1,3,2,4,4,-4,2,1,-4,-4,-4,-4,-4,4,82000,2,1,2,-4,-4,-4,-4,-4,4,3,3,2,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,12000,2,1,2,-4,-4,-4,-4,-4,-4,4,28000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,27400,2,1,4,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,4,45000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,54303,2,1,4,2,4,2,4,-4,-4,-4,-4,-4,-4,4,52000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,62673,2,1,4,1,4,2,4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,73653,2,1,-4,-4,-4,-4,-4,-4,4,74835,2,1,4,2,4,2,4
565,4,2,4,2,4,4,0,2,1,3,2,3,-4,-4,4,400,2,1,3,3,-3,-3,-4,-4,4,1,3,1,4,4,4,-4,-4,-4,-4,-4,-4,-4,-4,4,16500,2,1,1,-4,-4,-4,-4,-4,-4,4,18000,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,4,55950,2,1,3,-4,-4,-4,-4,-4,-4,-4,-4,4,60000,2,1,3,3,3,3,4,-4,-4,-4,-4,-4,-4,4,60500,3,1,1,-4,-4,-4,-4,-4,-4,-4,-4,4,54000,2,1,4,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,59000,2,1,-4,-4,-4,-4,-4,-4,4,61000,2,1,3,3,3,3,4
566,4,2,4,3,3,4,-4,2,1,-4,-4,-4,-4,-4,4,43000,2,1,-4,-4,-4,-4,-4,-4,3,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,91500,2,1,-4,-4,-4,-4,-4,-4,-4,4,98630,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,104000,2,1,3,2,3,2,3,-4,-4,-4,-4,-4,-4,-4,4,112500,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,71000,2,1,3,2,3,2,4,-4,-4,-4,-4,-4,-4,4,69000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,69000,2,1,3,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,79000,2,1,-4,-4,-4,-4,-4,-4,4,79000,2,1,3,2,4,2,4
567,4,2,3,2,4,4,23000,2,1,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
568,4,2,4,2,3,4,21500,2,1,-4,-4,-4,-4,-4,4,6000,2,1,-4,-4,-4,-4,-4,-4,3,4,3,4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,16000,2,1,2,-4,-4,-4,-4,-4,-4,4,37500,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,4,75000,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,-4,-4,-4,-4,-4,2,91000,3,1,2,-4,-4,-4,-4,-4,-4,-4,-4,2,85000,2,1,3,3,3,2,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,18000,2,1,2,-4,-4,-4,-4,-4,2,-3,3,1,3,3,4,3,4
569,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,3,4,2,4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,92500,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-4,-4,-4,-4,-4,-4,-4,4,66645,3,1,3,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
570,4,2,4,2,4,4,32500,2,1,2,-4,-4,-4,-4,4,18071,2,1,-4,-4,-4,-4,-4,-4,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,9000,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
571,4,2,4,2,4,4,-3,2,1,-4,-4,-4,-4,-4,4,-3,2,1,-4,-4,-4,-4,-4,-4,3,2,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,63500,2,1,-4,-4,-4,-4,-4,-4,-4,4,98100,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,104000,2,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,4,55000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,66000,2,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,4,155000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,110000,2,1,1,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,133000,2,1,-4,-4,-4,-4,-4,-4,4,115050,2,1,3,3,3,3,3
572,4,2,3,2,4,4,-4,2,1,-4,-4,-4,-4,-4,4,82500,2,1,-4,-4,-4,-4,-4,-4,3,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,106500,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-4,-4,-4,-4,-4,-4,4,45500,-3,-3,3,-4,-4,-4,-4,-4,-4,-4,-4,1,70250,2,1,4,2,3,2,4,3,1,-4,-4,-4,-4,4,56000,2,2,3,-4,-4,-4,-4,-4,-4,-4,-4,4,76000,2,2,3,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,45001,2,2,-4,-4,-4,-4,-4,-4,4,52328,2,1,3,3,3,2,4
573,3,3,3,2,4,4,7800,2,1,-4,-4,-4,-4,-4,4,50300,2,1,-4,-4,-4,-4,-4,-4,4,3,4,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,53828,2,1,-4,-4,-4,-4,-4,-4,-4,4,2552,2,1,1,1,-4,-4,-4,-4,-4,-4,4,5000,2,1,2,3,3,2,3,1,-4,-4,-4,-4,-4,-4,4,47238,2,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,24250,2,0,2,3,2,3,3,-4,-4,-4,-4,-4,-4,4,81511,2,0,1,-4,-4,-4,-4,-4,-4,-4,-4,4,27000,3,1,3,3,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,14500,2,1,-4,-4,-4,-4,-4,-4,4,10000,2,1,3,3,3,3,3
574,3,2,3,3,3,4,20000,2,1,-4,-4,-4,-4,-4,4,40000,2,1,-4,-4,-4,-4,-4,-4,1,4,2,4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,9580,2,1,-4,-4,-4,-4,-4,-4,-4,4,6240,4,2,1,-4,-4,-4,-4,-4,-4,-4,4,5920,2,1,3,4,3,4,3,1,1,-4,-4,-4,-4,-4,4,-3,2,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,2500,2,0,1,2,2,2,4,-4,-4,-4,-4,-4,-4,4,8000,2,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,800,2,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,4080,2,1,-4,-4,-4,-4,-4,-4,4,32750,2,1,3,4,4,3,4
575,3,1,2,1,4,4,-3,3,1,1,-4,-4,-4,-4,4,-3,3,1,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,-4,-4,-4,-4,-4,4,2700,3,1,2,-4,-4,-4,-4,-4,-4,-4,4,-3,2,2,3,1,3,1,4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,2,2,2,3,1,4,-4,-4,-4,-4,-4,-4,4,37500,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,8500,2,2,3,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,21000,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
576,3,3,4,2,4,4,75000,2,1,-4,-4,-4,-4,-4,4,87000,2,1,-4,-4,-4,-4,-4,-4,3,3,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,13000,2,1,-4,-4,-4,-4,-4,-4,-4,4,100000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,107000,2,1,3,3,3,3,3,1,-4,-4,-4,-4,-4,-4,4,170000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,3,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,4,150000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,112201,3,1,3,3,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,63407,3,1,-4,-4,-4,-4,-4,-4,4,131154,3,1,3,2,4,2,4
577,3,3,3,3,4,4,-4,2,1,-4,-4,-4,-4,-4,4,-4,2,1,-4,-4,-4,-4,-4,-4,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,73000,2,1,-4,-4,-4,-4,-4,-4,-4,4,100000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,134000,2,1,3,2,3,2,4,1,-4,-4,-4,-4,-4,-4,4,52250,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,49658,3,1,3,2,4,2,4,-4,-4,-4,-4,-4,-4,4,59751,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,50500,2,1,3,3,3,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,64253,2,1,-4,-4,-4,-4,-4,-4,4,56000,2,1,3,2,3,2,4
578,3,2,3,2,3,4,-4,2,1,-4,-4,-4,-4,-4,4,-3,2,1,-4,-4,-4,-4,-4,-4,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,-4,-4,-4,-4,-4,-4,-4,4,68150,2,1,-4,-4,-4,-4,-4,-4,-4,-4,4,-3,2,1,3,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,121000,2,1,3,2,3,2,4,-4,-4,-4,-4,-4,-4,4,92000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,85401,2,1,2,3,2,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,21000,2,1,-4,-4,-4,-4,-4,-4,4,24250,2,1,3,3,3,3,3
579,3,3,3,2,4,4,119000,3,1,-4,-4,-4,-4,-4,4,126050,3,1,-4,-4,-4,-4,-4,-4,3,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,100022,3,1,-4,-4,-4,-4,-4,-4,-4,4,134083,3,1,-4,-4,-4,-4,-4,-4,-4,-4,4,72500,3,1,2,3,2,3,2,-4,-4,-4,-4,-4,-4,-4,4,55000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,75000,3,1,1,3,3,3,3,-4,-4,-4,-4,-4,-4,4,37500,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,17500,3,1,3,3,3,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,55000,3,1,-4,-4,-4,-4,-4,-4,4,61500,3,1,3,3,3,2,4
580,3,2,4,2,4,4,-4,3,1,-4,-4,-4,-4,-4,4,-4,3,1,-4,-4,-4,-4,-4,-4,3,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,65500,3,1,-4,-4,-4,-4,-4,-4,-4,4,92000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,4,30000,3,1,-2,3,2,3,4,-4,-4,-4,-4,-4,-4,-4,4,97000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,110500,3,1,4,3,4,2,4,-4,-4,-4,-4,-4,-4,4,35000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,35000,3,1,4,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,32000,3,1,-4,-4,-4,-4,-4,-4,4,28000,2,1,3,2,3,2,4
581,4,2,3,2,4,4,15580,3,1,1,-4,-4,-4,-4,4,49900,3,1,-4,-4,-4,-4,-4,-4,3,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,32500,3,1,-4,-4,-4,-4,-4,-4,-4,4,38500,3,1,-4,-4,-4,-4,-4,-4,-4,-4,4,100750,3,1,3,3,4,3,4,-4,-4,-4,-4,-4,-4,-4,4,130473,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,111730,3,1,3,3,3,2,4,-4,-4,-4,-4,-4,-4,4,93600,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,83000,3,1,3,2,3,2,4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,82850,2,1,-4,-4,-4,-4,-4,-4,4,51000,2,1,3,2,4,2,4
